species,gear_type,year,ocean,value
YFT,BB,1979,PAC_W,11447.97
YFT,LL,1960,PAC_W,54831.55
SKJ,PS,2004,IND,147873.70
BET,LL,2003,PAC_W,76758.55
SBF,LL,1971,IND,25452.23
YFT,BB,1989,IND,5765.82
BET,PS,1999,PAC_E,47082.64
SBF,LL,1966,PAC_W,19047.48
BET,PS,1984,PAC_W,3759.31
BFT,LL,1963,ATL,8080.33
ALB,BB,1978,ATL,1167.99
SKJ,PS,1969,PAC_E,42133.77
BET,LL,1981,ATL,37744.29
BUM,LL,1989,PAC_E,2381.60
YFT,PS,2000,IND,137757.96
SKJ,LL,1988,PAC_E,25.54
SWO,LL,1999,IND,22352.22
SFA,LL,1967,PAC_W,1993.17
YFT,BB,1987,ATL,10545.83
BET,PS,1980,PAC_W,1604.12
BUM,LL,1972,PAC_W,7932.17
SKJ,OTHER_I,2001,IND,0.00
ALB,LL,1965,IND,11365.64
ALB,PS,1967,PAC_E,254.11
SWO,LL,1971,PAC_E,1935.83
SBF,LL,1980,PAC_W,13507.97
ALB,BB,1997,ATL,6599.03
BET,GILL,2000,IND,8.84
SBF,BB,1995,IND,1029.89
BET,LL,1992,PAC_W,73843.78
MLS,LL,1976,IND,2639.53
SSP,LL,1994,IND,3.99
SKJ,OTHER_A,1995,ATL,108.99
SBF,LL,1955,IND,2832.02
SKJ,LL,1976,PAC_E,121.36
MLS,LL,1986,PAC_E,3519.57
YFT,BB,1990,IND,5211.24
BET,BB,1987,ATL,3922.78
YFT,PS,1980,PAC_W,30525.01
ALB,OTHER_A,1991,ATL,71.30
SWO,LL,1975,ATL,4986.78
SFA,LL,2004,PAC_W,149.07
ALB,LL,1972,ATL,32918.56
YFT,LL,1981,ATL,18719.19
ALB,LL,1998,PAC_E,10374.38
SKJ,BB,1992,ATL,21211.25
BFT,PS,1966,PAC_E,15871.29
BET,PS,2000,IND,29362.81
SKJ,PS,2001,ATL,52763.18
MLS,LL,1988,IND,3274.50
SWO,LL,1953,IND,81.73
SBF,LL,2000,IND,4636.67
BFT,PS,1984,PAC_E,841.50
YFT,LL,1992,PAC_W,73124.53
YFT,GILL,2000,IND,40948.61
SKJ,BB,1981,PAC_W,285487.31
BFT,LL,1958,ATL,33.98
SKJ,TRAP,2004,ATL,1.85
ALB,PS,2004,PAC_E,104.52
SKJ,PS,1968,ATL,9576.55
ALB,OTHER_I,1995,IND,5.16
SBF,LL,1994,ATL,596.36
SWO,LL,1961,PAC_E,556.49
YFT,PS,1966,PAC_E,66607.27
YFT,OTHER_I,1994,IND,1850.02
YFT,LL,1985,PAC_W,75981.91
BFT,LL,1981,ATL,4389.48
SKJ,PS,1991,ATL,130311.90
YFT,LL,1997,IND,38536.69
SFA,LL,2002,PAC_W,670.24
YFT,PS,1984,PAC_E,133497.33
YFT,OTHER_A,1975,ATL,7.00
